name,time/op (ns/op),±
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:1-8,1.62400E+02,1%
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:2-8,1.44200E+02,0%
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:4-8,1.26040E+02,1%
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:8-8,1.07300E+02,0%
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:16-8,9.90780E+01,1%
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:32-8,1.06340E+02,1%
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:64-8,9.48860E+01,1%
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:128-8,9.35540E+01,0%
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:256-8,9.12500E+01,0%
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:512-8,8.73580E+01,0%
ChanThroughput/type:standard;pCnt:1;cCnt:8;buf:1024-8,8.61500E+01,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:1-8,2.28720E+02,4%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:2-8,1.23360E+02,2%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:4-8,6.58440E+01,2%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:8-8,3.51500E+01,4%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:16-8,1.92580E+01,3%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:32-8,1.20025E+01,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:64-8,7.87080E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:128-8,5.69020E+00,2%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:256-8,4.13000E+00,2%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:512-8,3.41000E+00,0%
ChanThroughput/type:thp;pCnt:1;cCnt:8;buf:1024-8,3.10700E+00,0%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1-8,2.85675E+02,1%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:2-8,1.39820E+02,5%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:4-8,6.85340E+01,6%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:8-8,3.64100E+01,4%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:16-8,1.95780E+01,4%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:32-8,1.26360E+01,2%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:64-8,8.23320E+00,1%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:128-8,5.65600E+00,2%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:256-8,3.89540E+00,2%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:512-8,3.08240E+00,0%
ChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1024-8,2.73640E+00,1%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:1-8,2.04400E+02,1%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:2-8,1.84540E+02,0%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:4-8,1.63520E+02,0%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:8-8,1.40920E+02,0%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:16-8,1.25900E+02,0%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:32-8,1.23260E+02,1%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:64-8,1.06460E+02,1%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:128-8,1.01060E+02,1%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:256-8,9.46600E+01,0%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:512-8,8.93200E+01,0%
ChanThroughput/type:standard;pCnt:2;cCnt:8;buf:1024-8,8.83280E+01,1%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:1-8,2.94800E+02,1%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:2-8,1.58820E+02,1%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:4-8,7.79200E+01,9%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:8-8,4.32660E+01,9%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:16-8,2.96080E+01,9%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:32-8,2.16540E+01,8%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:64-8,1.48840E+01,4%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:128-8,4.47175E+00,4%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:256-8,3.28860E+00,4%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:512-8,3.45460E+00,2%
ChanThroughput/type:thp;pCnt:2;cCnt:8;buf:1024-8,2.96840E+00,1%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:1-8,3.82160E+02,4%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:2-8,1.91960E+02,6%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:4-8,9.80680E+01,5%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:8-8,5.22820E+01,6%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:16-8,2.75720E+01,6%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:32-8,1.51860E+01,6%
ChanThroughput/type:thp2;pCnt:2;cCnt:8;buf:64-8,8.78680E+00,3%
