goos: darwin
goarch: arm64
pkg: github.com/storozhukBM/thp
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:1-8         	 4115376	       245.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:1-8         	 4560986	       241.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:1-8         	 4655893	       239.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:1-8         	 4462114	       248.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:1-8         	 4464669	       248.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:2-8         	 9530478	       125.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:2-8         	10453249	       124.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:2-8         	 8926600	       120.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:2-8         	 9580519	       134.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:2-8         	 8909470	       122.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:4-8         	18476745	        67.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:4-8         	17768334	        67.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:4-8         	17621317	        67.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:4-8         	17415913	        67.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:4-8         	17658300	        67.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:8-8         	35117410	        32.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:8-8         	37545904	        34.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:8-8         	34692106	        31.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:8-8         	37795920	        34.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:8-8         	35196980	        31.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:16-8        	69974925	        17.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:16-8        	66616704	        17.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:16-8        	71043922	        17.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:16-8        	66615778	        16.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:16-8        	68279289	        17.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:32-8        	100000000	        10.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:32-8        	100000000	        10.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:32-8        	100000000	        10.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:32-8        	100000000	        10.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:32-8        	100000000	        10.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:64-8        	179069487	         6.587 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:64-8        	178608062	         6.575 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:64-8        	182383881	         6.588 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:64-8        	178305992	         6.753 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:64-8        	178764856	         6.595 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:128-8       	291086300	         4.060 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:128-8       	294538218	         4.116 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:128-8       	292785163	         4.178 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:128-8       	291952095	         4.051 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:128-8       	292588785	         4.164 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:256-8       	451509948	         2.649 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:256-8       	461301747	         2.656 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:256-8       	455029065	         2.645 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:256-8       	460908478	         2.661 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:256-8       	388097167	         3.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:512-8       	608296146	         1.937 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:512-8       	623402125	         1.835 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:512-8       	615738270	         1.873 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:512-8       	640152639	         1.826 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:512-8       	631342057	         1.798 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:1024-8      	772355262	         1.461 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:1024-8      	777340946	         1.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:1024-8      	773977168	         1.461 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:1024-8      	772104506	         1.468 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp3;pCnt:1;cCnt:8;buf:1024-8      	781491885	         1.457 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1-8         	 4824972	       239.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1-8         	 4554175	       248.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1-8         	 4801087	       239.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1-8         	 4503502	       240.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1-8         	 4836667	       248.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:2-8         	 9440065	       121.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:2-8         	 9913927	       134.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:2-8         	 9016426	       132.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:2-8         	 9788392	       133.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:2-8         	10041538	       133.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:4-8         	17901774	        68.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:4-8         	17969619	        67.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:4-8         	17620443	        68.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:4-8         	17181955	        67.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:4-8         	18559248	        68.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:8-8         	36460310	        35.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:8-8         	34575241	        32.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:8-8         	35919808	        34.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:8-8         	34470417	        32.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:8-8         	33823737	        34.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:16-8        	62419537	        18.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:16-8        	60384321	        19.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:16-8        	63730069	        18.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:16-8        	62014968	        19.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:16-8        	59613136	        18.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:32-8        	98513067	        12.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:32-8        	95849193	        12.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:32-8        	98111026	        12.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:32-8        	96495670	        12.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:32-8        	100000000	        12.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:64-8        	149270973	         7.986 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:64-8        	148142668	         8.060 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:64-8        	148131902	         7.971 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:64-8        	148752784	         7.972 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:64-8        	148515800	         8.074 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:128-8       	230809992	         5.430 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:128-8       	226898251	         5.236 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:128-8       	227139404	         5.401 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:128-8       	226488079	         5.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:128-8       	228837006	         5.227 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:256-8       	321531345	         3.676 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:256-8       	324470737	         3.706 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:256-8       	324468764	         3.656 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:256-8       	324739756	         3.691 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:256-8       	326863219	         3.688 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:512-8       	393594360	         3.039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:512-8       	394618390	         3.042 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:512-8       	393033427	         3.058 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:512-8       	392816102	         3.049 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:512-8       	396176293	         3.040 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1024-8      	436636069	         2.738 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1024-8      	439001034	         2.747 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1024-8      	436827268	         2.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1024-8      	438860954	         2.739 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp2;pCnt:1;cCnt:8;buf:1024-8      	437737534	         2.748 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:1-8     	 7421637	       162.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:1-8     	 7457781	       162.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:1-8     	 7447747	       162.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:1-8     	 7437844	       162.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:1-8     	 7399309	       162.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:2-8     	 8434742	       142.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:2-8     	 8399233	       143.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:2-8     	 8441689	       142.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:2-8     	 8381326	       142.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:2-8     	 8394207	       142.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:4-8     	 9532509	       125.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:4-8     	 9674168	       125.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:4-8     	 9689775	       125.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:4-8     	 9680275	       124.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:4-8     	 9700486	       125.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:8-8     	11327236	       106.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:8-8     	11215996	       106.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:8-8     	11400598	       106.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:8-8     	11272875	       106.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:8-8     	11343012	       106.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:16-8    	12198850	        99.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:16-8    	12449924	        99.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:16-8    	12371022	        98.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:16-8    	12151278	        99.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:16-8    	12341430	        99.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:32-8    	11277038	       106.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:32-8    	11451410	       106.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:32-8    	11285331	       107.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:32-8    	11584824	       107.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:32-8    	11526237	       106.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:64-8    	12812054	        94.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:64-8    	13119945	        94.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:64-8    	13118905	        94.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:64-8    	12736852	        94.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:64-8    	12988534	        94.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:128-8   	13195772	        93.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:standard;pCnt:1;cCnt:8;buf:128-8   	13315147	        93.06 ns/op	       0 B/op	       0 allocs/op
